# CAPPROJ key=goldquick__20260313 role=hit label=Gold Quick type=Quick variantMode=all_cards projval=40-89 vlvl0=1843 vlvl5=1111 recordsTotal=2954 rows=2954
CID	Name	Position	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	BBpct	SOpct	HRpct	BABIP	XBHpct	ProjectedNewCard
85747	T4 Ep. 2 - Baseball Reference 3 2B Carlos Baerga CLE 1993	2B	86	5	S			0.324	0.304	0.338	4.1	15.2	3.2	0.304	21.6	false
84741	FLF 14 &amp; Co. - Future Legend CF Eduardo Quintero LAD 2026	CF	88	5	R			0.323	0.323	0.322	9.4	21.3	2.4	0.306	28.2	false
82733	SwitchKnucklers - Hardware Heroes 3B Howard Johnson NYM 1989	3B	84	5	S			0.323	0.306	0.335	8.3	29.9	4.2	0.304	28.9	false
85654	Hall of Fame C Roy Campanella BRO 1950	C	86	5	R			0.323	0.356	0.301	6.5	20.8	5.0	0.266	21.7	false
86263	All-Star Week - Historical All-Star SS Miguel Tejada ATH 2002	SS	77	0	R			0.322	0.319	0.324	4.2	16.9	4.3	0.284	20	true
85667	In Memoriam - Snapshot 3B Bob Horner ATL 1983	3B	84	0	R			0.322	0.326	0.319	6.6	27.2	4.7	0.292	24.3	false
85049	Celebrating GA - Snapshot CF Garret Anderson ANA 2000	CF	80	5	L			0.322	0.344	0.307	1.6	15.9	4.5	0.278	27.1	false
84662	Opening Day Heroes - Snapshot LF Brant Alyea MIN 1970	LF	89	5	R			0.322	0.323	0.321	7.4	22.2	3.9	0.288	24.8	false
85776	Family Connections - Historical All-Star RF Danny Tartabull KC 1991	RF	87	0	R			0.321	0.325	0.319	7.9	35.2	4.8	0.314	27.8	false
85311	All-Star Week - Historical All-Star LF Frank Howard WS2 1968	LF	81	0	R			0.321	0.364	0.292	6.5	28.7	5.6	0.276	22.7	true
85842	Clubhouse - Snapshot C Dick Dietz SF 1970	C	88	0	R			0.321	0.35	0.301	9.9	27.3	3.4	0.304	26.2	false
85913	Limited Edition/119 RF Bobby Bonilla NYM 1993	RF	84	0	S			0.321	0.328	0.317	7.0	20.9	4.9	0.263	22.1	false
86157	Clubhouse - Baseball Reference 5 1B Jesus Aguilar MIL 2018	1B	85	0	R			0.321	0.332	0.313	7.5	28.0	4.6	0.299	18.4	true
83376	Veteran Presence 1B Howie Kendrick WAS 2019	1B	88	5	R			0.321	0.329	0.315	4.3	14.5	2.7	0.299	26.5	false
85897	FLF 14 &amp; Co. - All-Time Legend 2B Edgardo Alfonzo NYM Peak	2B	79	5	R			0.321	0.32	0.322	7.0	20.1	2.9	0.300	28.5	false
84755	FLF 3 - Future Legend CF Kevin Alcantara CHC 2026	CF	76	5	R			0.321	0.337	0.31	7.3	26.3	4.1	0.300	23.1	false
84652	Limited Edition/36 2B Julio Franco TEX 1991	2B	83	0	R			0.320	0.331	0.312	5.8	17.8	2.6	0.312	22.7	false
86202	Limited Edition/46 LF Melky Cabrera SF 2012	LF	78	0	S			0.320	0.35	0.3	4.9	15.4	2.1	0.315	25.7	true
85814	The Witts SP/SS Bobby Witt Sr./Jr. KC 2023	SS	83	5	R			0.320	0.339	0.307	3.9	14.8	3.5	0.289	23	false
83849	Celebrating 42 - Veteran Presence LF Jackie Robinson BRO 1954	LF	87	5	R			0.320	0.31	0.326	6.2	15.0	2.9	0.295	19.9	false
86260	All-Star Week - Hall of Fame 3B Wade Boggs BOS 1989	3B	74	5	L			0.320	0.291	0.341	9.0	11.7	0.5	0.314	25.2	true
84790	Baseball Reference 1 1B Tino Martinez NYY 1997	1B	87	0	L			0.319	0.305	0.329	7.0	15.9	4.2	0.262	20	false
84831	Baseball Reference 1 C Devin Mesoraco CIN 2014	C	82	5	R			0.319	0.331	0.311	6.9	24.0	4.3	0.287	23.1	false
85664	June Gems - Snapshot CF Andrew McCutchen PIT 2017	CF	83	5	R			0.319	0.355	0.293	8.4	19.1	3.1	0.288	22.2	false
83843	Snapshot C Mike Grady STL 1904	C	87	5	R			0.319	0.334	0.308	7.0	26.3	4.0	0.300	25.4	false
85715	Clubhouse - SwitchKnucklers - Historical All-Star LF Roy White NYY 1970	LF	89	0	S			0.318	0.296	0.334	8.2	16.7	3.1	0.280	22.9	false
86072	4th of July On-Stream - Historical All-Star RF Austin Meadows TB 2019	RF	83	0	L			0.318	0.289	0.338	6.1	22.6	3.6	0.302	22.9	false
83782	Snapshot LF Smoky Joe Wood CLE 1918	LF	87	5	R			0.318	0.326	0.313	5.8	19.4	3.6	0.286	26	false
85526	Memorial Day OnStream Builds - Historical All-Star 2B Jose Vidro MON 2002	2B	77	5	S			0.318	0.309	0.324	6.4	15.5	2.3	0.299	26.6	false
83998	Historical All-Star 1B Willie Stargell PIT 1972	1B	89	5	L			0.318	0.296	0.334	6.5	27.1	4.5	0.290	27.1	false
85932	July Jewels - Baseball Reference 4 SS Julio Lugo TB 2005	SS	73	5	R			0.318	0.321	0.316	7.1	12.7	1.2	0.311	24.5	false
85080	Earth Day - Rookie Sensation LF Jim Greengrass CIN 1953	LF	74	5	R			0.318	0.33	0.31	5.1	24.6	4.5	0.291	24.5	false
84639	FLF 4 - Future Legend RF Dylan Beavers BAL 2026	RF	87	5	L			0.318	0.306	0.327	8.4	17.5	3.0	0.281	25.1	false
84187	Clubhouse - Historical All-Star SS Dick Groat STL 1963	SS	89	0	R			0.317	0.329	0.308	6.1	11.4	1.1	0.306	29.3	false
84750	PTCS 1 - Future Legend 2B Travis Bazzana CLE 2026	2B	87	0	L			0.317	0.31	0.322	8.7	18.4	2.3	0.296	27.1	false
85934	July Jewels - Baseball Reference 4 3B Dave Brain BSN 1907	3B	68	5	R			0.317	0.317	0.317	3.8	21.4	4.4	0.281	27.5	false
85878	T4 Ep. 3 - Snapshot RF Willie Keeler BLN 1894	RF	77	0	L			0.316	0.304	0.325	2.4	7.4	1.2	0.314	23	false
85668	PTCS 3 - Veteran Presence 2B Rogers Hornsby CHC 1931	2B	83	0	R			0.316	0.317	0.316	9.0	20.1	2.6	0.288	29.3	false
85029	FLF 10 - Future Legend 2B Tommy Troy AZ 2026	2B	83	5	R			0.316	0.328	0.308	9.4	23.0	2.4	0.304	26.9	false
83838	Blue Jays 50th Anniversary 1B John Olerud TOR 1992	1B	68	5	L			0.316	0.303	0.325	8.5	18.1	2.7	0.288	23.7	false
86258	T4 Ep. 4 - Historical All-Star 2B Paul Molitor ML4 1980	2B	82	5	R			0.316	0.333	0.304	6.7	16.9	2.3	0.301	25	true
84746	FLF 13 &amp; Co. - Future Legend SS George Lombard Jr. NYY 2026	SS	86	5	R			0.316	0.327	0.308	9.5	28.0	3.4	0.297	28.9	false
85179	Young &amp; Old 1 - Rookie Sensation LF Wally Berger BSN 1930	LF	83	5	R			0.316	0.322	0.311	6.6	25.2	4.9	0.273	22.2	false
86274	All-Star Week - Historical All-Star RF Ruben Sierra TEX 1989	RF	78	0	S			0.315	0.341	0.298	3.1	22.0	3.9	0.296	28.3	true
83945	Young &amp; Old 1 - Veteran Presence 3B Justin Turner LAD 2021	3B	78	5	R			0.315	0.312	0.317	7.4	15.4	3.1	0.280	18.7	false
85753	SwitchKnucklers - Hardware Heroes CF Willie McGee STL 1985	CF	79	5	S			0.315	0.313	0.316	3.3	18.6	2.3	0.320	28.3	false
83794	Snapshot LF Bug Holliday CIN 1894	LF	87	5	R			0.315	0.316	0.313	4.7	16.6	3.3	0.293	19.7	false
85223	Young &amp; Old 1 - Hardware Heroes CF Andre Dawson MON 1977	CF	77	5	R			0.315	0.334	0.302	4.1	21.6	3.7	0.299	25.6	false
85710	Clubhouse - SwitchKnucklers - Historical All-Star 3B Pablo Sandoval SF 2011	3B	84	0	S			0.314	0.287	0.333	4.6	18.4	3.2	0.296	23.8	false
84640	Future Legend RF Owen Caissie MIA 2026	RF	78	5	L			0.314	0.29	0.33	8.2	29.6	4.2	0.293	25.6	false
85858	T4 Ep. 3 - Unsung Heroes LF Bill Buckner LAD 1974	LF	64	5	L			0.314	0.285	0.334	3.4	7.1	1.3	0.299	27.4	false
83926	Historical All-Star SS Bo Bichette TOR 2021	SS	83	5	R			0.314	0.335	0.299	4.2	18.6	3.2	0.304	20.1	false
86084	Limited Edition/67 2B Jonathan Schoop BAL 2017	2B	67	0	R			0.313	0.326	0.304	4.5	22.9	3.5	0.308	22.9	true
85908	Limited Edition/53 CF Lee Mazzilli NYM 1979	CF	81	0	S			0.313	0.318	0.31	8.8	21.1	2.2	0.306	24.2	false
85774	Family Connections - Historical All-Star CF Ken Griffey Jr. SEA 1991	CF	84	0	L			0.313	0.296	0.324	7.0	23.2	2.9	0.308	22.2	false
84796	Baseball Reference 1 LF Bob Fothergill DET 1927	LF	86	0	R			0.313	0.33	0.3	4.3	17.5	2.2	0.312	26	false
85352	T4 Ep. 1 - Super Utility 2B Ben Zobrist ATH 2015	2B	84	5	S			0.313	0.316	0.311	9.7	12.3	1.7	0.275	28.2	false
82772	World Baseball Classic 1B Joey Meneses MEX 2023	1B	78	5	R			0.313	0.299	0.323	2.8	14.4	3.3	0.300	13.2	false
86256	T4 Ep. 4 - Historical All-Star 1B John Kruk PHI 1992	1B	79	5	L			0.313	0.284	0.333	9.8	23.3	1.7	0.320	24.5	true
82728	Hardware Heroes RF Dick Higham PRO 1878	RF	84	5	L			0.313	0.305	0.318	3.9	17.3	3.0	0.292	29.6	false
83769	Snapshot 1B Mike Easler BOS 1984	1B	87	5	L			0.313	0.278	0.337	5.4	31.6	4.4	0.316	23	false
84185	Historical All-Star SS Jeff Blauser ATL 1993	SS	88	5	R			0.313	0.314	0.312	8.5	23.3	2.9	0.302	21.9	false
86187	Limited Edition/56 1B Gus Suhr PIT 1936	1B	80	0	L			0.312	0.295	0.324	8.2	16.1	2.1	0.295	22.2	true
86270	All-Star Week - Historical All-Star CF Dale Murphy ATL 1982	CF	88	0	R			0.312	0.34	0.293	8.7	29.4	4.2	0.299	15.2	true
86262	All-Star Week - Historical All-Star SS Asdrubal Cabrera CLE 2011	SS	85	0	S			0.312	0.306	0.316	4.8	18.7	3.4	0.288	23.9	true
86067	4th of July On-Stream - Snapshot 2B Jack Burdock BSN 1883	2B	87	0	R			0.312	0.318	0.308	4.3	21.0	2.8	0.310	27.1	false
86266	T4 Ep. 4 - Historical All-Star LF Dante Bichette COL 1995	LF	78	0	R			0.312	0.325	0.302	2.3	26.8	4.6	0.305	23.9	true
86145	Obscure All-Stars - Baseball Reference 5 1B Lee Thomas LAA 1962	1B	77	5	L			0.312	0.258	0.349	5.9	19.9	3.7	0.288	17.5	true
82914	Unsung Heroes 1B Otto Schomberg IN3 1887	1B	87	5	L			0.312	0.303	0.319	8.2	19.3	2.7	0.291	22.7	false
84842	Celebrating 42 - Snapshot 2B Jackie Robinson BRO 1948	2B	79	5	R			0.312	0.304	0.317	6.2	16.2	2.3	0.291	28.1	false
83793	Veteran Presence LF Manny Ramirez LAD 2010	LF	82	5	R			0.312	0.305	0.318	8.0	19.8	2.6	0.292	25.4	false
85953	July Jewels - Baseball Reference 4 3B Tony Phillips CAL 1995	3B	75	5	S			0.312	0.332	0.299	10.6	27.3	3.5	0.288	20.4	false
85496	60s Theme Week - Historical All-Star RF Albie Pearson LAA 1961	RF	85	5	L			0.312	0.292	0.326	11.0	14.3	1.1	0.296	19.7	false
83990	Historical All-Star LF Hal McRae KC 1976	LF	88	5	R			0.312	0.311	0.313	6.7	15.9	2.2	0.294	25.2	false
85282	May Names 1 - Historical All-Star LF Carlos May CHW 1972	LF	86	5	L			0.312	0.298	0.322	8.9	18.6	1.6	0.308	23.3	false
85519	60s Theme Week - Hardware Heroes RF Roger Maris NYY 1961	RF	82	5	L			0.312	0.295	0.324	8.8	17.3	5.9	0.208	17.1	false
85310	Family Connections - Historical All-Star LF Carl Crawford TB 2006	LF	81	5	L			0.312	0.273	0.338	5.0	19.0	2.4	0.306	26.8	false
85123	FLF 6 - Future Legend 1B Charlie Condon COL 2026	1B	79	5	R			0.312	0.324	0.303	11.1	28.7	3.6	0.280	26.7	false
83710	Super Utility 3B Deacon White DTN 1888	3B	72	5	L			0.311	0.296	0.321	3.2	13.1	2.5	0.299	22.5	false
83749	Snapshot RF Ellis Valentine MON 1980	RF	81	5	R			0.311	0.317	0.307	6.3	20.8	3.5	0.281	26.6	false
83808	Snapshot CF Edd Roush CIN 1921	CF	83	5	L			0.311	0.295	0.322	5.6	10.1	2.0	0.283	25.4	false
85030	FLF 4 - Future Legend RF Braden Montgomery CHW 2026	RF	74	5	S			0.311	0.312	0.311	6.5	23.5	3.6	0.287	27.1	false
83968	Historical All-Star 1B John Jaha ATH 1999	1B	82	5	R			0.311	0.335	0.294	9.1	29.3	4.2	0.286	18.9	false
84875	Celebrating 42 - Negro League Star 3B Ray Dandridge NeEa 1938	3B	88	5	R			0.311	0.314	0.309	4.4	14.9	1.4	0.314	27.2	false
85167	Dock&#39;s Patients 1B Nate Colbert SD 1970	1B	80	5	R			0.311	0.327	0.299	6.4	28.9	4.9	0.286	18.7	false
85160	Dock&#39;s Patients RF Ollie Brown SD 1970	RF	74	5	R			0.311	0.335	0.294	4.0	22.0	3.7	0.291	27.5	false
85358	T4 Ep. 1 - Snapshot RF Bobby Bonds TEX 1978	RF	87	5	R			0.311	0.309	0.312	9.3	28.6	4.8	0.273	15.9	false
85660	June Gems - Baseball Reference 3 3B Dick Allen LAD 1971	3B	79	5	R			0.311	0.307	0.315	9.4	27.9	3.6	0.296	20.3	false
86075	Limited Edition/78 2B Junior Spivey ARI 2002	2B	78	0	R			0.310	0.337	0.291	7.6	21.0	2.2	0.305	25.4	true
84173	Veteran Presence C Brian Harper MIN 1991	C	83	0	R			0.310	0.31	0.31	1.5	8.6	2.0	0.297	25	false
85304	Baseball Reference 2 3B Sid Gordon NY1 1949	3B	89	0	R			0.310	0.324	0.3	9.9	18.4	3.9	0.243	22.4	false
82774	World Baseball Classic SS Yu Chang TPE 2023	SS	89	0	R			0.310	0.325	0.3	5.8	22.9	3.0	0.306	25.2	false
86260	All-Star Week - Hall of Fame 3B Wade Boggs BOS 1989	3B	74	0	L			0.310	0.28	0.33	8.6	13.1	0.5	0.311	24.2	true
84635	Future Legend SS Carson Williams TB 2026	SS	87	5	R			0.310	0.318	0.305	8.2	30.6	4.1	0.296	24.7	false
85793	Family Connections - Snapshot 3B Fernando Tatis STL 1999	3B	73	5	R			0.310	0.307	0.312	8.0	29.3	4.3	0.288	21.6	false
83975	Historical All-Star 3B Tony Perez CIN 1969	3B	82	5	R			0.310	0.3	0.318	5.5	22.4	3.8	0.288	23.3	false
83577	Snapshot 1B Jason Giambi ATH 1998	1B	82	5	L			0.310	0.311	0.309	6.1	21.9	3.1	0.298	23	false
85320	Baseball Reference 2 LF Chuck Essegian CLE 1962	LF	74	5	R			0.310	0.318	0.305	7.4	27.1	4.9	0.273	16.8	false
84539	Negro League Star RF Willard Brown DaEa 1954	RF	88	5	R			0.310	0.317	0.306	3.9	18.7	3.3	0.290	26.2	false
84766	FLF 5 - Future Legend DH Moises Ballesteros CHC 2026	DH	84	5	L			0.310	0.266	0.34	6.6	21.0	3.1	0.293	23.1	false
85477	PTCS 3 - Baseball Reference 2 RF Earl Webb BOS 1931	RF	72	0	L			0.309	0.307	0.311	6.8	24.0	2.3	0.308	32.2	false
85529	Memorial Day OnStream Builds - Snapshot 2B Brian Dozier MIN 2016	2B	88	0	R			0.309	0.318	0.302	6.2	21.6	4.5	0.258	24.8	false
84161	All-Time Legend 3B Pinky Whitney PHI Peak	3B	82	5	R			0.309	0.325	0.298	5.7	16.5	2.8	0.286	23.5	false
85943	July Jewels - Baseball Reference 4 RF Ed Morgan CLE 1929	RF	66	5	R			0.309	0.315	0.305	8.8	20.2	1.0	0.316	28.9	false
83987	Historical All-Star CF Ray Lankford STL 1997	CF	88	5	L			0.309	0.297	0.317	8.3	26.0	3.7	0.278	27.9	false
82720	Hardware Heroes 1B Tim Jordan BRO 1908	1B	83	5	L			0.309	0.315	0.305	8.3	27.0	4.6	0.267	22.1	false
83978	Veteran Presence SS Eddie Joost PHA 1949	SS	89	5	R			0.309	0.33	0.294	10.1	27.1	3.7	0.275	24.4	false
84644	Future Legend C Carter Jensen KC 2026	C	89	5	L			0.309	0.287	0.324	8.3	23.2	3.6	0.273	24.6	false
85946	July Jewels - Baseball Reference 4 2B Ron Hunt MON 1971	2B	70	5	R			0.309	0.345	0.284	9.4	11.5	1.3	0.286	21.6	false
85434	May Birthdays - Historical All-Star C Todd Hundley NYM 1997	C	85	5	S			0.309	0.271	0.335	10.3	31.6	4.1	0.286	20.5	false
86254	All-Star Week - Historical All-Star C Gabby Hartnett CHC 1936	C	66	5	R			0.309	0.333	0.292	5.2	21.1	3.4	0.295	21.2	true
84741	FLF 14 &amp; Co. - Future Legend CF Eduardo Quintero LAD 2026	CF	88	0	R			0.308	0.309	0.308	9.0	22.8	2.1	0.301	27.5	false
84611	Clubhouse - World Baseball Classic 1B Luis Arraez VEN 2026	1B	88	0	L			0.308	0.286	0.323	6.5	11.2	2.7	0.268	22.2	false
84552	Negro League Star CF Jules Thomas NYLG 1917	CF	86	5	R			0.308	0.316	0.302	4.1	19.6	3.5	0.286	25.1	false
83751	Snapshot C Mike Stanley BOS 1996	C	80	5	R			0.308	0.309	0.308	8.7	18.7	3.8	0.257	19.4	false
82712	Hardware Heroes 1B Jake Stahl BOS 1910	1B	86	5	R			0.308	0.303	0.311	4.9	32.1	4.8	0.300	24.2	false
82916	Unsung Heroes SS Billy Shindle PH4 1890	SS	83	5	R			0.308	0.318	0.302	2.5	14.9	2.9	0.294	23.5	false
85680	June Gems - Super Utility 1B Vic Power CLE 1958	1B	76	5	R			0.308	0.299	0.314	2.0	8.3	2.5	0.274	29.4	false
83963	Historical All-Star RF Juan Gonzalez CLE 2001	RF	81	5	R			0.308	0.311	0.305	5.0	19.8	3.4	0.287	22.5	false
83780	Snapshot C Roger Bresnahan STL 1911	C	83	5	R			0.308	0.34	0.285	9.2	17.4	1.7	0.287	28.3	false
85437	SwitchKnucklers - Historical All-Star 1B Josh Bell PIT 2019	1B	78	5	S			0.308	0.258	0.343	7.9	21.2	3.9	0.261	23.5	false
83798	Snapshot CF Al Simmons PHA 1926	CF	89	0	R			0.307	0.317	0.3	4.1	20.4	3.4	0.285	28	false
85932	July Jewels - Baseball Reference 4 SS Julio Lugo TB 2005	SS	73	0	R			0.307	0.309	0.305	6.6	13.8	1.1	0.307	23.2	false
82733	SwitchKnucklers - Hardware Heroes 3B Howard Johnson NYM 1989	3B	84	0	S			0.307	0.291	0.317	7.9	31.9	3.8	0.299	28.2	false
86120	Clubhouse - Baseball Reference 5 CF David Dahl COL 2019	CF	75	0	L			0.307	0.293	0.317	5.2	24.6	2.8	0.314	27.4	true
85494	60s Theme Week - Historical All-Star SS Ernie Banks CHC 1961	SS	83	0	R			0.307	0.326	0.295	6.3	19.6	4.0	0.268	20.6	false
85713	T4 Ep. 3 - Historical All-Star SS Garry Templeton STL 1979	SS	78	5	S			0.307	0.321	0.297	1.9	17.5	2.0	0.318	29	false
86257	T4 Ep. 4 - Historical All-Star DH Mike Sweeney KC 2003	DH	63	5	R			0.307	0.3	0.311	9.3	16.0	2.6	0.274	16.5	true
83972	Hardware Heroes C Brian McCann ATL 2006	C	84	5	L			0.307	0.282	0.324	5.9	18.9	3.0	0.286	23.5	false
82722	Hardware Heroes LF Larry Hisle MIN 1977	LF	83	5	R			0.307	0.306	0.307	6.7	23.1	3.4	0.283	26.1	false
85106	HOF 1 - Hall of Fame SS Robin Yount ML4 1982	SS	83	0	R			0.306	0.299	0.311	5.5	18.1	3.0	0.280	27.6	false
83964	Veteran Presence DH Edgar Martinez SEA 2003	DH	84	0	R			0.306	0.321	0.296	8.7	21.5	3.1	0.284	18.3	false
83753	Live Collection Reward - Unsung Heroes LF Ken Henderson SF 1970	LF	85	0	S			0.306	0.309	0.304	7.5	20.5	2.2	0.296	26.6	false
85808	Limited Edition/63 3B Buddy Bell TEX 1979	3B	85	0	R			0.306	0.324	0.294	3.7	12.9	2.4	0.288	24.1	false
85747	T4 Ep. 2 - Baseball Reference 3 2B Carlos Baerga CLE 1993	2B	86	0	S			0.306	0.287	0.32	3.6	16.7	2.8	0.298	20.1	false
84661	Opening Day Heroes - Snapshot CF Tuffy Rhodes CHC 1994	CF	81	5	L			0.306	0.301	0.31	7.3	23.0	3.6	0.277	23.9	false
84375	Unsung Heroes SS Jed Lowrie ATH 2013	SS	80	5	S			0.306	0.293	0.314	5.3	16.7	2.2	0.292	28.7	false
83744	Snapshot 1B Sam Leslie BRO 1934	1B	88	5	L			0.306	0.305	0.306	7.0	17.0	1.5	0.310	21.3	false
83958	Historical All-Star 1B Paul Konerko CWS 2005	1B	82	5	R			0.306	0.297	0.312	7.9	22.7	4.3	0.264	14.3	false
85356	Played Where? - Snapshot CF Steve Finley HOU 1991	CF	89	5	L			0.306	0.276	0.326	5.8	15.8	1.4	0.308	24.9	false
83638	Snapshot 3B Hunter Dozier KC 2019	3B	79	5	R			0.306	0.317	0.299	6.8	24.9	2.8	0.308	23	false
83814	FLF 15 &amp; Co. - Snapshot CF Byron Buxton MIN 2021	CF	76	5	R			0.306	0.294	0.314	3.3	24.9	3.2	0.309	29.8	false
85512	60s Theme Week - Unsung Heroes C Johnny Blanchard NYY 1961	C	81	5	L			0.306	0.275	0.327	7.4	22.1	4.4	0.253	22.6	false
85216	PTCS 2 - Hardware Heroes C Matt Wieters BAL 2011	C	82	0	S			0.305	0.324	0.292	6.7	21.2	3.0	0.294	19.7	false
83376	Veteran Presence 1B Howie Kendrick WAS 2019	1B	88	0	R			0.305	0.315	0.297	3.8	15.5	2.4	0.292	25.4	false
85654	Hall of Fame C Roy Campanella BRO 1950	C	86	0	R			0.305	0.336	0.284	6.0	22.4	4.6	0.259	20.1	false
85785	Limited Edition/63 CF Gus Bell CIN 1955	CF	70	0	L			0.305	0.265	0.333	4.9	18.9	3.1	0.285	23.9	false
85049	Celebrating GA - Snapshot CF Garret Anderson ANA 2000	CF	80	0	L			0.305	0.327	0.29	1.4	17.6	4.1	0.272	26.4	false
84377	Rookie Sensation SS Tom Tresh NYY 1962	SS	77	5	S			0.305	0.318	0.296	6.4	18.3	2.7	0.289	21.3	false
85666	June Gems - Baseball Reference 3 RF Tim Salmon CAL 1996	RF	65	5	R			0.305	0.307	0.304	8.9	28.4	4.1	0.278	19.4	false
83816	Snapshot 3B Spike Owen CAL 1994	3B	85	5	S			0.305	0.307	0.303	9.0	10.2	1.1	0.280	24	false
83994	Historical All-Star 3B Bob Elliott BSN 1948	3B	88	5	R			0.305	0.297	0.311	9.4	19.6	3.5	0.255	22.7	false
83740	Snapshot 1B Jake Daubert BRO 1916	1B	86	5	L			0.305	0.261	0.335	5.2	17.7	1.9	0.315	19.7	false
83704	Snapshot RF Sam Crawford DET 1912	RF	73	5	L			0.305	0.317	0.296	4.6	13.2	2.6	0.278	25.4	false
