# CAPPROJ key=diamondquick__20260313 role=hit label=Diamond Quick type=Quick variantMode=all_cards projval=40-99 vlvl0=2046 vlvl5=1253 recordsTotal=3299 rows=3299
CID	Name	Position	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	BBpct	SOpct	HRpct	BABIP	XBHpct	ProjectedNewCard
86067	4th of July On-Stream - Snapshot 2B Jack Burdock BSN 1883	2B	87	5	R			0.311	0.316	0.307	5.0	21.6	2.7	0.309	29	false
84212	World Baseball Classic LF Masataka Yoshida JPN 2023	LF	94	0	L			0.310	0.307	0.312	7.1	17.2	3.2	0.279	19.5	false
85811	Family Connections - Hardware Heroes SS Fernando Tatis Jr. SD 2021	SS	95	0	R			0.310	0.314	0.308	7.9	28.6	3.8	0.295	25.7	false
86109	Clubhouse - Baseball Reference 5 SS Zack Cozart CIN 2017	SS	83	0	R			0.310	0.331	0.295	8.0	20.9	2.8	0.293	22.1	true
85165	Young &amp; Old 1 - Veteran Presence 1B Hank Aaron ATL 1971	1B	98	0	R			0.310	0.292	0.322	7.4	19.7	3.8	0.269	22.5	false
86274	All-Star Week - Historical All-Star RF Ruben Sierra TEX 1989	RF	78	5	S			0.310	0.334	0.295	3.6	22.8	3.6	0.296	30.8	true
85490	60s Theme Week - Super Utility C Elston Howard NYY 1961	C	95	5	R			0.310	0.329	0.297	4.0	22.8	3.6	0.307	20.9	false
84725	FLF 3 - Future Legend CF Max Clark DET 2026	CF	98	5	L			0.310	0.298	0.319	8.3	20.4	2.0	0.303	27	false
86286	All-Star Week - Historical All-Star 3B Mike Schmidt PHI 1977	3B	99	0	R			0.309	0.33	0.295	10.0	28.1	4.2	0.265	27.7	true
84187	Clubhouse - Historical All-Star SS Dick Groat STL 1963	SS	89	0	R			0.309	0.321	0.3	6.2	13.2	1.1	0.301	31.3	false
85475	PTCS 3 - Hardware Heroes 1B Prince Fielder DET 2013	1B	87	0	L			0.309	0.31	0.309	8.0	21.3	3.2	0.289	18.5	false
86253	Clubhouse - Historical All-Star C Darren Daulton PHI 1992	C	93	0	L			0.309	0.298	0.317	9.5	28.6	3.8	0.279	30.4	true
84542	Negro League Star SS Willie Wells NeEa 1938	SS	91	5	R			0.309	0.326	0.297	7.7	18.6	2.2	0.295	24.9	false
84737	FLF 7 - Future Legend CF Ryan Waldschmidt AZ 2026	CF	94	5	R			0.309	0.314	0.305	9.3	27.8	3.7	0.283	25	false
85932	July Jewels - Baseball Reference 4 SS Julio Lugo TB 2005	SS	73	5	R			0.309	0.312	0.307	7.4	14.8	1.3	0.306	24.2	false
82751	Hardware Heroes 2B Eddie Collins CWS 1920	2B	98	5	L			0.309	0.281	0.328	7.5	11.7	0.8	0.303	24.8	false
85776	Family Connections - Historical All-Star RF Danny Tartabull KC 1991	RF	87	0	R			0.308	0.31	0.307	8.1	33.6	3.8	0.309	28.9	false
84570	Negro League Star LF Wilson Redus SLS 1927	LF	99	0	R			0.308	0.306	0.309	3.5	21.5	3.5	0.293	28.6	false
85878	T4 Ep. 3 - Snapshot RF Willie Keeler BLN 1894	RF	77	0	L			0.308	0.293	0.318	2.4	8.3	1.3	0.309	22.3	false
84674	FLF 2 - Future Legend RF Chase DeLauter CLE 2026	RF	99	0	L			0.308	0.302	0.313	7.8	20.2	3.5	0.269	26.7	false
82735	Live Collection Reward - Hardware Heroes 3B Home Run Baker PHA 1911	3B	99	0	L			0.308	0.3	0.313	3.6	15.2	2.9	0.283	28.2	false
84557	Negro League Star C Tom Young KCM 1929	C	91	5	L			0.308	0.287	0.321	6.8	21.0	2.7	0.290	28.7	false
85471	May Birthdays - Hardware Heroes 2B Robby Thompson SF 1993	2B	97	5	R			0.308	0.313	0.305	6.6	23.8	2.6	0.310	26	false
84741	FLF 14 &amp; Co. - Future Legend CF Eduardo Quintero LAD 2026	CF	88	5	R			0.308	0.31	0.307	9.4	23.7	2.1	0.302	29.5	false
84880	Celebrating 42 - Negro League Star LF Lennie Pearson NeEa 1946	LF	93	5	R			0.308	0.315	0.304	6.5	21.9	3.6	0.280	26.5	false
84792	Baseball Reference 1 C Jason Kendall PIT 1998	C	91	5	R			0.308	0.321	0.299	6.7	16.9	1.9	0.301	23.9	false
83779	Snapshot 1B Harry Heilmann DET 1919	1B	96	5	R			0.308	0.318	0.3	4.6	20.9	2.7	0.302	29.2	false
84190	Veteran Presence 1B Jeff Conine BAL 2001	1B	94	5	R			0.308	0.317	0.303	7.7	17.8	2.6	0.288	21.7	false
82774	World Baseball Classic SS Yu Chang TPE 2023	SS	89	5	R			0.308	0.324	0.298	6.4	23.7	2.8	0.306	26.5	false
84617	World Baseball Classic LF Yoenis Cespedes CUB 2012	LF	98	5	R			0.308	0.309	0.308	3.3	25.3	3.5	0.309	30.3	false
86262	All-Star Week - Historical All-Star SS Asdrubal Cabrera CLE 2011	SS	85	5	S			0.308	0.303	0.312	5.4	19.6	3.1	0.289	25.2	true
86260	All-Star Week - Hall of Fame 3B Wade Boggs BOS 1989	3B	74	5	L			0.308	0.274	0.332	9.0	13.4	0.3	0.310	25.6	true
84651	Limited Edition/14 SS Julio Franco CLE Peak	SS	98	0	R			0.307	0.308	0.306	7.9	18.3	1.9	0.306	19.8	false
84642	FLF 15 &amp; Co. - Future Legend C Alfredo Duno CIN 2026	C	95	0	R			0.307	0.315	0.302	9.1	29.7	3.5	0.302	22.6	false
85106	HOF 1 - Hall of Fame SS Robin Yount ML4 1982	SS	83	5	R			0.307	0.302	0.311	6.2	19.0	2.8	0.283	29.7	false
83847	Snapshot 2B Nap Lajoie CLE 1907	2B	99	5	R			0.307	0.305	0.309	6.1	13.9	1.2	0.300	30.7	false
83624	Snapshot 1B Zeke Bonura CWS 1937	1B	95	5	R			0.307	0.302	0.311	6.1	17.8	2.8	0.291	21.8	false
86264	All-Star Week - Historical All-Star SS Barry Larkin CIN 1991	SS	93	0	R			0.306	0.337	0.286	6.8	21.1	2.8	0.298	22.1	true
86285	All-Star Week - Historical All-Star 1B Ryan Howard PHI 2006	1B	90	0	L			0.306	0.286	0.319	8.9	33.2	4.1	0.305	16	true
83830	PTCS 3 - Hardware Heroes CF Paul Blair BAL 1969	CF	98	0	R			0.306	0.306	0.305	4.4	18.1	2.8	0.290	28.2	false
84571	Negro League Star SS John Beckwith HoGr 1929	SS	98	0	R			0.306	0.304	0.308	6.6	21.1	2.3	0.303	28.2	false
83798	Snapshot CF Al Simmons PHA 1926	CF	89	5	R			0.306	0.314	0.3	4.7	21.4	3.2	0.287	30.5	false
82733	SwitchKnucklers - Hardware Heroes 3B Howard Johnson NYM 1989	3B	84	5	S			0.306	0.297	0.312	8.5	30.6	3.4	0.298	30.6	false
85304	Baseball Reference 2 3B Sid Gordon NY1 1949	3B	89	5	R			0.306	0.314	0.3	10.6	19.3	3.6	0.245	23.3	false
83844	PTCS 1 - Baseball Reference C Mike Napoli TEX 2011	C	97	0	R			0.305	0.303	0.307	8.2	30.3	3.6	0.305	21.2	false
84744	FLF 13 &amp; Co. - Future Legend SS Ethan Holliday COL 2026	SS	95	0	L			0.305	0.284	0.318	9.5	29.6	3.4	0.291	24.9	false
86202	Limited Edition/46 LF Melky Cabrera SF 2012	LF	78	0	S			0.305	0.328	0.288	5.0	18.0	1.8	0.310	25.8	true
84582	PTWC 3rd Place RF Cody Bellinger LAD 2019	RF	99	0	L			0.305	0.29	0.315	8.2	20.6	3.5	0.271	18.2	false
85469	Baseball Reference 2 C Mickey Tettleton BAL 1989	C	92	5	S			0.305	0.302	0.307	9.8	30.6	4.0	0.282	21.3	false
83991	Historical All-Star 1B Norm Siebern KC1 1962	1B	99	5	L			0.305	0.281	0.321	8.6	23.3	2.9	0.290	21.3	false
83802	Snapshot 2B Terry Shumpert COL 1999	2B	92	5	R			0.305	0.311	0.301	6.3	19.9	2.2	0.298	30.1	false
84812	In Memoriam - Super Utility 2B Davey Lopes LAD Peak	2B	93	5	R			0.305	0.315	0.298	8.0	23.4	2.8	0.295	23.2	false
85311	All-Star Week - Historical All-Star LF Frank Howard WS2 1968	LF	81	5	R			0.305	0.343	0.279	7.0	28.5	4.5	0.275	23.8	true
83819	Snapshot 1B Johnny Hopp PIT 1950	1B	96	5	L			0.305	0.276	0.324	6.8	17.1	2.1	0.288	27.2	false
83828	Snapshot C Ron Hassey CWS 1986	C	93	5	L			0.305	0.297	0.31	7.4	15.6	2.0	0.288	24	false
83806	Snapshot 3B Jim Ray Hart SF 1967	3B	94	5	R			0.305	0.291	0.315	6.4	22.6	3.3	0.288	23.2	false
85858	T4 Ep. 3 - Unsung Heroes LF Bill Buckner LAD 1974	LF	64	5	L			0.305	0.276	0.325	3.5	7.9	1.1	0.294	28.3	false
85897	FLF 14 &amp; Co. - All-Time Legend 2B Edgardo Alfonzo NYM Peak	2B	79	5	R			0.305	0.303	0.306	7.3	22.4	2.5	0.295	30	false
82923	World Baseball Classic SS Trea Turner USA 2023	SS	98	0	R			0.304	0.303	0.305	6.0	20.6	3.5	0.279	21.6	false
85842	Clubhouse - Snapshot C Dick Dietz SF 1970	C	88	0	R			0.304	0.327	0.289	10.0	28.9	2.8	0.299	26.6	false
85859	Clubhouse - Hardware Heroes 1B Cecil Cooper ML4 1980	1B	89	0	L			0.304	0.276	0.323	2.2	16.8	2.8	0.305	20.2	false
85305	Baseball Reference 2 LF Rocky Colavito DET 1961	LF	96	0	R			0.304	0.287	0.315	10.5	20.4	3.8	0.249	16.7	false
83700	Snapshot CF Amos Otis KC 1978	CF	95	5	R			0.304	0.302	0.306	7.5	19.4	2.7	0.282	25.2	false
86270	All-Star Week - Historical All-Star CF Dale Murphy ATL 1982	CF	88	5	R			0.304	0.325	0.291	8.9	29.2	3.7	0.300	14.2	true
85643	FLF 10 - Future Legend 1B Munetaka Murakami CWS 2026	1B	99	5	L			0.304	0.298	0.309	11.1	33.1	4.3	0.280	16.7	false
83395	Rookie Sensation 3B Royce Lewis MIN 2023	3B	91	5	R			0.304	0.299	0.307	5.8	25.4	3.1	0.309	22.1	false
83995	Historical All-Star 1B Ted Kluszewski CIN 1953	1B	98	5	L			0.304	0.291	0.313	5.4	17.2	3.7	0.272	17.4	false
83999	Veteran Presence C Carlton Fisk CWS 1989	C	91	5	R			0.304	0.314	0.297	6.0	22.7	2.7	0.301	26.6	false
84211	Rookie Sensation 1B Jose Abreu CWS 2014	1B	93	5	R			0.304	0.32	0.294	6.3	24.3	3.6	0.289	23.2	false
85724	SwitchKnucklers - Snapshot CF Walt Wilmot CHC 1890	CF	94	0	S			0.303	0.301	0.304	6.3	19.7	3.0	0.286	21.6	false
86273	All-Star Week - Historical All-Star RF Darryl Strawberry NYM 1987	RF	97	0	L			0.303	0.267	0.327	8.7	29.4	4.0	0.273	26.9	true
83992	Hall of Fame C Ted Simmons STL 1977	C	99	0	S			0.303	0.308	0.3	7.3	16.7	2.8	0.277	19	false
84672	Opening Day HR Streak - Baseball Reference LF Tyler O&#39;Neill STL 2021	LF	98	0	R			0.303	0.317	0.293	5.4	27.8	3.7	0.305	21.8	false
85860	Clubhouse - Hardware Heroes 1B Keith Hernandez STL 1979	1B	94	0	L			0.303	0.298	0.307	8.2	24.8	1.8	0.311	31.4	false
85518	60s Theme Week - Hardware Heroes 3B Ken Boyer STL 1961	3B	96	0	R			0.303	0.3	0.306	7.2	25.2	2.7	0.302	26.1	false
83502	Snapshot 3B Garrett Atkins COL 2008	3B	94	0	R			0.303	0.321	0.29	7.5	22.3	2.9	0.283	26.4	false
85074	Celebrating GA - Hardware Heroes LF Garret Anderson ANA 2003	LF	99	0	L			0.303	0.29	0.313	3.6	19.6	2.7	0.296	29.8	false
83859	Historical All-Star C Buster Posey SF 2017	C	96	5	R			0.303	0.323	0.29	7.1	15.8	1.5	0.301	22.4	false
84572	Negro League Star CF Alejandro Oms CSE 1928	CF	99	5	L			0.303	0.292	0.311	7.8	21.7	2.7	0.285	26.4	false
83376	Veteran Presence 1B Howie Kendrick WAS 2019	1B	88	5	R			0.303	0.311	0.298	4.4	16.9	2.4	0.293	26.9	false
85494	60s Theme Week - Historical All-Star SS Ernie Banks CHC 1961	SS	83	5	R			0.303	0.315	0.295	6.9	20.4	3.6	0.271	21.2	false
85747	T4 Ep. 2 - Baseball Reference 3 2B Carlos Baerga CLE 1993	2B	86	5	S			0.303	0.282	0.317	4.1	17.8	2.7	0.299	20.6	false
83841	Live Collection Reward - Snapshot CF Jimmy Ryan CHC 1888	CF	99	0	R			0.302	0.314	0.294	6.3	22.1	2.8	0.290	28.2	false
85668	PTCS 3 - Veteran Presence 2B Rogers Hornsby CHC 1931	2B	83	0	R			0.302	0.302	0.301	8.9	22.6	2.3	0.285	31.2	false
84652	Limited Edition/36 2B Julio Franco TEX 1991	2B	83	0	R			0.302	0.312	0.295	5.8	20.2	2.2	0.307	21.8	false
85116	FLF 9 - Future Legend SS Colt Emerson SEA 2026	SS	98	0	L			0.302	0.289	0.311	8.1	24.2	2.3	0.300	28.5	false
85526	Memorial Day OnStream Builds - Historical All-Star 2B Jose Vidro MON 2002	2B	77	5	S			0.302	0.298	0.306	6.5	18.1	2.1	0.293	27	false
83849	Celebrating 42 - Veteran Presence LF Jackie Robinson BRO 1954	LF	87	5	R			0.302	0.288	0.311	6.2	17.1	2.5	0.290	19	false
85753	SwitchKnucklers - Hardware Heroes CF Willie McGee STL 1985	CF	79	5	S			0.302	0.295	0.306	3.4	21.0	2.1	0.315	29.7	false
83964	Veteran Presence DH Edgar Martinez SEA 2003	DH	84	5	R			0.302	0.318	0.292	9.0	22.5	2.9	0.286	18.1	false
83985	Historical All-Star 2B Nellie Fox CWS 1957	2B	96	5	L			0.302	0.289	0.31	6.6	8.1	0.9	0.290	22	false
84875	Celebrating 42 - Negro League Star 3B Ray Dandridge NeEa 1938	3B	88	5	R			0.302	0.305	0.299	4.5	17.4	1.5	0.310	27.9	false
84568	Negro League Star C Jim Brown CAG 1931	C	96	5	S			0.302	0.303	0.301	8.0	21.4	2.5	0.283	29.8	false
83986	Historical All-Star LF Michael Brantley CLE 2014	LF	90	5	L			0.302	0.296	0.306	6.6	13.0	2.2	0.276	22.5	false
85715	Clubhouse - SwitchKnucklers - Historical All-Star LF Roy White NYY 1970	LF	89	0	S			0.301	0.282	0.314	8.2	19.1	2.7	0.277	22.1	false
85094	HOF 1 - Hall of Fame 3B Ron Santo CHC 1969	3B	93	0	R			0.301	0.295	0.305	7.8	25.3	3.1	0.299	15.6	false
82737	Hardware Heroes SS Alex Rodriguez TEX 2001	SS	98	0	R			0.301	0.29	0.308	7.5	26.0	3.6	0.283	20.8	false
85752	Heart Attack - All-Time Legend SS Tony Fernandez TOR Peak	SS	96	0	S			0.301	0.29	0.308	6.5	17.2	1.4	0.301	27.1	false
83853	Live Collection Reward - Veteran Presence RF Nelson Cruz SEA 2015	RF	93	0	R			0.301	0.316	0.291	6.8	27.5	3.6	0.302	16	false
83961	Live Collection Reward - Historical All-Star SS Xander Bogaerts BOS 2019	SS	95	0	R			0.301	0.294	0.306	6.9	20.7	2.3	0.294	25.8	false
84750	PTCS 1 - Future Legend 2B Travis Bazzana CLE 2026	2B	87	0	L			0.301	0.296	0.305	8.5	20.7	2.0	0.290	27.9	false
84195	Veteran Presence RF Jayson Werth WAS 2013	RF	96	5	R			0.301	0.313	0.293	8.3	24.8	2.7	0.306	16.3	false
